dimension,segment,customers,churn_rate,churners
Geography,France,5014,0.16154766653370561,810
Geography,Germany,2509,0.32443204463929853,814
Geography,Spain,2477,0.1667339523617279,413
Gender,Female,4543,0.2507153863086066,1139
Gender,Male,5457,0.16455928165658787,898
IsActiveMember,0,4849,0.26850897092183956,1302
IsActiveMember,1,5151,0.14269073966220153,735
NumOfProducts,1,5084,0.27714398111723054,1409
NumOfProducts,2,4590,0.07581699346405228,348
NumOfProducts,3,266,0.8270676691729323,220
NumOfProducts,4,60,1.0,60
